Unnamed: 0,URL,Item Name,Ingredients,Reef Safe Determination
14,https://www.sunbum.com//products/original-spf-30-sunscreen-oil,Original SPF 30 Sunscreen Oil– Sun Bum,"Active Ingredients: Octocrylene 10%, Homosalate 10%, Ethylhexyl Salicylate 5%, Avobenzone 3%Inactive Ingredients: cocos nucifera (coconut) oil, isoamyl cocoate, butyloctyl salicylate, alcohol denat.(5%), capryloyl glycerin/sebacic acid copolymer, polyester-8, polyamide-8, aloe barbadensis leaf extract, helianthus annuus (sunflower) seed oil, tocopherol, simmondsia chinensis (jojoba) seed oil, theobroma cacao (cocoa) seed butter",1
15,https://www.sunbum.com//products/original-glow-spf-30-sunscreen-lotion,Glow SPF 30 Sunscreen Face Lotion Original | Sun Bum,"Active Ingredients: Octocrylene 10.0%, Octisalate 5.0%, Avobenzone 3.0%Inactive Ingredients: water, bismuth oxychloride, propanediol, butyloctyl salicylate, glycerin, mica, c12-15 alkyl benzoate, polyglyceryl-6 stearate, isododecane, terminalia ferdinandiana (kakadu plum) fruit extract, tocopherol, pullulan, lysolecithin, tetrasodium glutamate diacetate, sclerotium gum, xanthan gum, hydrated silica, titanium dioxide, polyglyceryl-6 behenate, phenoxyethanol, ethylhexylglycerin, citric acid, iron oxides",1
16,https://www.sunbum.com//products/original-spf-30-sunscreen-face-stick-0-45-oz,"SPF 30 Sunscreen Face Stick, Original Sunscreen | Sun Bum","Active Ingredients: Avobenzone 3%, Homosalate 10%, Octisalate 5%, Octocrylene 10%Inactive Ingredients: paraffin wax, octyl palmitate, ozokerite, euphorbia cerifera (candelilla) wax, beeswax, butyloctyl salicylate, fragrance, polyethylene, polycrylene, cetyl alcohol, tocopheryl acetate, ascorbyl palmitate",1
17,https://www.sunbum.com//products/original-spf-45-sunscreen-face-mist,"SPF 45 Sunscreen Face Mist, Original | SPF Face Spray - Sun Bum","Active Ingredients: Homosalate 15%, Octocrylene 7%, Octisalate 5%, Avobenzone 3%Inactive Ingredients: alcohol denat (67%), isoamyl cocoate, fragrance, hamamelis virginiana (witch hazel) bar/leaf extract, tocopherol",1
18,https://www.sunbum.com//products/spf-50-clear-zinc-1oz,Clear Zinc Sunscreen Lotion SPF 50 | Clear Zinc Oxide Formula | Sun Bum,"Active Ingredients: Homosalate 10%, Octisalate 5%, Octocrylene 10%, Zinc 7%Inactive Ingredients: Water, C12-15 Alkyl Benzoate, Ethylhexyl Palmitate, Ethylhexyl Stearate, Cetyl PEG/PPG-10/1 Dimethicone, Glycerin, Hydrogenated Ethylhexyl Olivate, Hydrogenated Olive Oil Unsaponifiable, Isoamyl Cocoate, Hydrogenated Castor Oil, Hydrated Silica, Polyethylene, Tocopheryl Acetate, Theobroma Cacao Seed Butter, Aloe Barbadensis Leaf Juice, Beeswax, Fragrance, Sodium Chloride, Triethoxycaprylylsilane, Phenoxyethanol, Ethylhexylglycerin",1
19,https://www.sunbum.com//products/original-spf-50-sunscreen-face-lotion-3oz,"SPF 50 Sunscreen Face Lotion, Original Sunscreen | Sun Bum","Active Ingredients: Avobenzone 3%, Homosalate 10%, Octisalate 5%, Octocrylene 10%Inactive Ingredients: water, butyloctyl salicylate, hydrated silica, VP/hexadecene copolymer, styrene/acrylates copolymer, dimethicone, polyester-8, tocopherol acetate, BHT, glyceryl stearate, PEG-100 stearate, ethylhexyl stearate, behenyl alcohol, caprylyl methicone, trimethylsiloxysilicate, dimethyl capramide, sodium polyacrylate, xanthan gum, trideceth-6, disodium EDTA, ethylhexylglycerin, polyaminopropyl biguanide, methylisothiazolinone",1
20,https://www.sunbum.com//products/original-face-70-spf-70-sunscreen-lotion,"SPF 70 Sunscreen Lotion, Original | Face Sunscreen - Sun Bum","Active Ingredients: Avobenzone 3%, Homosalate 15%, Octisalate 5%, Octocrylene 10%Inactive Ingredients: water, styrene/acrylates copolymer, hydrated silica, glycerin, polyglyceryl-6 stearate, polyglyceryl-6 behenate, acrylates/C12-22 alkyl methacrylate copolymer, polyester-8, ethylhexylglycerin, lysolecithin, phenoxyethanol, pullulan, sclerotium gum, tetrasodium glutamate diacetate, tocopheryl acetate, xanthan gum",1
21,https://www.sunbum.com//products/original-spf-15-sunscreen-hand-cream,Original SPF 15 Sunscreen Hand Cream– Sun Bum,"Active Ingredients: Avobenzone 2%, Homosalate 5%, Octisalate 2%, Octocrylene 10%Inactive Ingredients: water, isoamyl cocoate, cetearyl alcohol, arachidyl alcohol, dimethicone, glycerin, behenyl alcohol, styrene/acrylates copolymer, cetearyl glucoside, arachidyl glucoside, fragrance, polyester-8, saccharide isomerate, caprylyl glycol, phenoxyethanol, sorbic acid, xanthan gum",1
22,https://www.sunbum.com//products/protecting-scalp-hair-mist-spf-30,Scalp & Hair Mist SPF 30– Sun Bum,"Active Ingredients: Homosalate 10%, Octisalate 5%, Octocrylene 4%, Avobenzone 3%Inactive Ingredients: alcohol denat. (70.10%), acrylates/octylacrylamide copolymer, polyester-8, butyloctyl salicylate, algae extract, laminaria digitata extract, helianthus annuus (sunflower) seed extract, caprylic/capric triglyceride, glycerin, fragrance",1
23,https://www.sunbum.com//products/spf-15-tanning-oil-8-5-fl-oz,Tanning Oil with SPF 15 | Sunscreen Tanning Oil | Sun Bum,"Active Ingredients: Avobenzone 3%, Homosalate 10%, Octisalate 5%, Octocrylene 10%Inactive Ingredients: Mineral Oil, Aloe Barbadensis Leaf Extract, Prunus Armeniaca (Apricot) Kernel Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Helianthus Annuus (Sunflower) Seed Oil, Cocos Nucifera (Coconut) Oil, Linum Usitatissimum (Linseed) Seed Oil, Persea Gratissima (Avocado) Oil, Argania Spinosa Kernel Oil, Macadamia Ternifolia Seed Oil, Olea Europaea (Olive) Fruit Oil, Passiflora Edulis Seed Oil, Rosa Canina Fruit Oil, Camellia Oleifera Seed Oil, Theobroma Cacao (Cocoa) Seed Butter, Camellia Sinensis Leaf Powder, Sclerocarya Birrea Seed Oil, Hydrogenated Vegetable Oil, Fragrance",1
